N,BS,threads,time_ms,gflops
1024,8,1,519.248,4.14
1024,8,2,220.215,9.75
1024,8,4,111.501,19.26
1024,8,8,90.884,23.63
1024,16,1,389.945,5.51
1024,16,2,208.765,10.29
1024,16,4,111.748,19.22
1024,16,8,90.107,23.83
1024,32,1,602.538,3.56
1024,32,2,329.615,6.52
1024,32,4,159.611,13.45
1024,32,8,136.48,15.73
