N,BS,threads,time_ms,gflops
1024,16,8,89.056,24.11
1024,32,1,597.174,3.6
1024,8,1,433.439,4.95
1024,16,4,113.771,18.88
1024,8,2,219.014,9.81
1024,8,8,85.612,25.08
1024,32,8,136.162,15.77
1024,32,2,323.668,6.63
1024,16,2,218.543,9.83
1024,32,4,176.391,12.17
1024,8,4,111.457,19.27
1024,16,1,383.462,5.6
